name,series,code,mer,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Scotia Essentials Maximum Growth Portfolio,A,BNS2210,2.09,,,,,,,17.0,9.4,16.2,-13.9,11.8
Scotia Selected Balanced Growth Portfolio,F,BNS541,0.92,,9.0,4.9,4.3,7.6,-3.2,12.8,9.5,7.6,-10.8,9.4
Scotia European Equity Fund,A,BNS376,2.45,,-6.7,23.1,-7.1,13.0,-12.7,20.8,12.8,11.6,-26.0,18.6
Scotia Canadian Dividend Class,F,BNS51385,0.93,,,,,,,,,,,7.5
Scotia Wealth International Equity Pool,F,PIN1520,1.26,,0.7,20.3,-3.4,15.5,-9.2,13.3,2.0,6.0,-11.4,14.1
Scotia Canadian Balanced Fund,F,BNS578,1.07,,9.4,2.8,10.1,8.8,-2.3,13.2,7.1,14.1,-6.3,8.6
Scotia Canadian Dividend Fund,A,BNS385,1.76,,14.5,-0.1,13.7,11.3,-4.0,20.7,-0.3,23.6,-3.1,6.6
Scotia Selected Income Portfolio,FT,BNS5438,0.68,,,,,,,,,,,8.5
Scotia INNOVA Balanced Growth Portfolio,A,BNS332,2.14,,8.8,4.8,3.9,5.9,-3.1,10.7,4.3,9.2,-10.5,9.1
Scotia Partners Balanced Growth Portfolio Class,F,BNS51347,1.26,,,,,,,,,,,10.5
Scotia Canadian Dividend Fund,M,,0.15,,16.3,1.5,15.5,13.0,-2.4,22.6,1.3,25.6,-1.5,8.3
Scotia U.S. Equity Index Fund,F,BNS582,0.62,,22.5,19.1,7.3,12.2,2.4,23.3,14.5,25.7,-15.3,23.8
Scotia INNOVA Maximum Growth Portfolio Class,T,BNS1434,2.46,,,9.2,4.1,9.1,-5.7,16.2,5.5,16.4,-12.0,11.9
Scotia Wealth Credit Absolute Return Pool,KM,PIN7001,2.81,,,,,,,,,,,5.4
Scotia Partners Growth Portfolio,F,BNS548,1.29,,10.2,4.7,7.0,10.9,-2.7,16.2,9.9,12.0,-12.8,11.5
Scotia Canadian Bond Index Fund,A,BNS386,0.85,,8.0,2.7,0.9,1.8,0.6,6.0,7.8,-3.6,-12.0,5.7
Scotia U.S. Equity Fund,F,BNS553,1.26,31.8,15.7,19.1,-4.9,17.2,5.4,26.6,25.9,34.6,-24.7,
Scotia Global Small Cap Fund,F,BNS595,1.22,,13.4,19.6,-5.3,13.4,-9.7,24.4,17.8,12.8,-16.4,20.9
